第４８回	2014年9月14日	中西 義忠	海老名 扶容	ロッシーニ／ドヴォルザーク／シューマン
『どろぼうかささぎ』序曲／アメリカ組曲／/交響曲第1番『春』
第47回	2013年9月8日	中西 義忠	海老名 扶容	ベートーヴェン	１．レオノーレ　序曲第3番２．交響曲第８番３．交響曲第５番『運命』E．トルコ行進曲
第１７回	1980.12.14(日)(午後２時半開演)	増田宏昭	清瀬市民センター　ホール	魔弾の射手、　ウェーバー　クラリネット協奏曲、　ベートーベン第6番『田園』	新東京フィルハーモニー管弦楽団　定期演奏会
第１６回	1979.10.27(土)(午後７時開演)	増田宏昭	清瀬市民センター　ホール	フィデリオ、　チャイコフスキャーナ、　バッハ　バイオリンとオーボエのための二重協奏曲、　ベートーベン第3番『英雄』	清瀬管弦楽団第16回定期演奏会
第１５回	1978.10.8(日)(午後７時開演)	増田宏昭	清瀬市民センター　ホール	フィンガルの洞窟、　ハイドン第101番『時計』、　ベートーベン第5番『運命』	清瀬管弦楽団第15回定期演奏会
第１４回	1977.10.8(土)(午後７時開演)	渋谷重良	清瀬市民センター　ホール	ペールギュント第1組曲、　ビゼー第1番、　ベートーベン第8番	清瀬管弦楽団第14回定期演奏会
第１３回	1976.6.20(日)(午後３時開演)	渋谷重良	清瀬市民センター　ホール	ヴィヴァルディ2つのバイオリンのための協奏曲、　ブランデンブルグ協奏曲4番、リュートのための古風な舞曲とアリア	清瀬弦楽合奏団第2回定期演奏会
第１２回	1974.10.19(日)(午後５時半開演)	渋谷重良	清瀬カトリック教会	コンチェルトグロッソ、　ディベルティメント、　シンプルシンフォニー	清瀬弦楽合奏団第1回発表会
第１１回	1973.10.21(日)(午後２時開演)	柴　香苗	清瀬市公民館	コリオラン、　バッハ　2つのバイオリンのための協奏曲、　水上の音楽、　モーツアルト第40番	第11回　清瀬管弦楽団　定期演奏会　　後援：清瀬市教育委員会、清瀬市文化連盟市教委、文連後援
第１０回	1972.4.16(日)(午前１０時開演)	角田隆雄　　	清瀬市公民館	エグモント序曲、　　モーツアル　ト　フルート協奏曲第2番、　ディベルティメント、　モーツアルト第31番『パリ』	「清瀬管弦楽団　第10回　春期演奏会」　　後援：清瀬市教育委員会、清瀬市文化連盟団長の名文『ミ・ファ・ラ・シ・ド』
第９回	1971.10.9(土)(午後７時開演)	角田隆雄　　横山稔	清瀬市公民館	バッハ　組曲第2番、　　　　　モーツアルト　第40番よりメヌエット　他	「清瀬管弦楽団　第9回　秋期演奏会」　後援：清瀬市教育委員会、清瀬市文化連盟
第８回	1969.6.29(日)(午後２時開演)	青山梓　　　渡辺鉄雄　　菊池忠雄	清瀬町公民館	輝けわが町、　アルルの女より　プレリュード、メヌエット、ファランドール、合唱、バイオリン二重奏、フルートソロ、合唱で童謡メドレー、　トルコマーチ、　　アイネクライネよりセレナーデ	「清瀬管弦楽団　第8回　発表演奏会」　後援：町教委、文化連盟特別出演：清瀬児童合唱団	　	　	　	　
第６回	1967.12.17(日)(午後２時開演)	渡辺鉄雄	清瀬町公民館	グリーンスリーブス、　マンドリンとオーケストラのための喜遊曲、ベートーベン第1番よりI楽章、オクラホマより序曲	「第6回　清瀬管弦楽団　発表演奏会　歳末助けあい」　後援：清瀬町、清瀬町社会福祉協議会、清瀬町文化連盟
第５回	1966.12.11(日)(午後２時開演)	渡辺鉄雄	清瀬町公民館	アテネの廃墟、　子守唄と鳥おい唄、　金毘羅船船、　こきりこ、　イエナシンフォニー　　　　　　　南太平洋序曲	「第5回　清瀬管弦楽団　発表演奏会　歳末助けあい」　後援：清瀬町、清瀬町社会福祉協議会、清瀬町文化連盟
第４回	1965.12.5(日)(午後２時開演)	渡辺鉄雄	清瀬町公民館	ドイツ舞曲、　わらべ唄、　谷川のほとりで（中国民謡）、　龍顔の壺、　草原情歌と花咲く准河、　ユーモレスク、　オ―ソレミヨ、　海に来よ、　ハイドン第94番『驚愕』	「清瀬管弦楽団第4回発表演奏会　歳末助け合い」　後援：清瀬町、文化連盟、社会福祉協議会初めて管弦楽だけのプログラムで開催
第３回	1964.12.13(日)(午後１時開演)	斉藤昌美　青山梓　　　中川健二	清瀬町公民館	トイ・シンフォニー第1楽章、オリエンタル、ユーモレスク、モーツアルトピアノ協奏曲ニ短調第1楽章、埴生の宿変奏曲、金毘羅船々によるコンポジション、アラムハンと牧歌（中国民謡）、日本民謡連曲、未完成第1楽章	「第3回歳末助け合い清瀬管弦楽団発表演奏会」後援：清瀬町役場、清瀬町社会福祉協議会、清瀬町教育委員会　　　　ピアノソロ：門田厚子（12歳）
第２回	1963.12.15(日)(午後１時開演)	青山梓	清瀬町公民館	バグダッドの大守、　オリエンタル、　マヅルカ、　愛のロマンス、　マラゲーニャ、　黒い瞳、　クンパルシータ、　ソルベーグの歌、　オーゼの死、　精霊の踊り、　ダニューブ河の漣　　　	「歳末助け合い　第2回　演奏会」　後援：清瀬町役場、清瀬町社会福祉協議会クラ独奏、東京病院高等看護学院生徒の合唱、バイオリン独奏、ギター三重奏、独唱、バイオリン三重奏、ピアノ独奏、みすず児童合唱団、ギター二重奏、と管弦楽
第１回	1962.12.9(日)(午後１時開演)	田内忍・青山梓	清瀬町公民館	ベートーベン　ガボット、　舞踊組曲シルビアより　ピチカート、　　　ウイーン風小曲集（第3の男ほか）、　童謡の主題による前奏曲、　会津磐梯山による幻想、　モーツアルト交響曲第40番　&amp;　カチューシャ、ともしび、トロイカ	「歳末助け合い　第1回　発表演奏会」　　主催：清瀬管弦楽団　　後援：清瀬町役場、清瀬町社会福祉協議会三部構成。ピアノ、クラリネット、ギター、独唱、舞踊、と管弦楽！　　締めは合唱と管弦楽
